;FECHA;CONCEPTO; VALOR  ;Proveedor;Observación
;jueves, 6 de febrero de 2025;Compras; $ 546,00 ;P&A Produce LLC;
;viernes, 28 de febrero de 2025;Compras; $ 1.204,35 ;Jetro;
;martes, 4 de febrero de 2025;Compras; $ 134,00 ;Reach ALL;
;martes, 4 de febrero de 2025;Compras; $ 362,00 ;Grubmarket - General;
;martes, 4 de febrero de 2025;Compras; $ 48,00 ;P&A Produce LLC;
;martes, 4 de febrero de 2025;Compras; $ 45,00 ;S&J Global Trading;
;martes, 4 de febrero de 2025;Compras; $ 120,00 ;Mega Bag;
;martes, 4 de febrero de 2025;Compras; $ 487,00 ;P&A Produce LLC;
;lunes, 3 de febrero de 2025;Compras; $ 100,00 ;La Tortillera;
;lunes, 3 de febrero de 2025;Compras; $ 44,00 ;ELA Superior Produce ;
;lunes, 3 de febrero de 2025;Compras; $ 546,42 ;JP Trading And Global;
;lunes, 3 de febrero de 2025;Compras; $ 543,00 ;P&A Produce LLC;
;lunes, 3 de febrero de 2025;Compras; $ 1.172,00 ;Grubmarket - General;
;sábado, 1 de febrero de 2025;Compras; $ 20,00 ;Fresh Enterprise;
;sábado, 1 de febrero de 2025;Compras; $ 57,00 ;Grubmarket - General;
;sábado, 1 de febrero de 2025;Compras; $ 247,00 ;S&J Global Trading;
;lunes, 31 de marzo de 2025;Compras; $ 19,99 ;ICE;
;martes, 4 de marzo de 2025;Compras; $ 440,14 ;Jetro;
;lunes, 31 de marzo de 2025;Compras; $ 35,36 ;Western Beef;
;lunes, 31 de marzo de 2025;Compras; $ 123,00 ;Primos Bakery Cors;
;lunes, 31 de marzo de 2025;Compras; $ 736,00 ;P&A Produce LLC;
;lunes, 31 de marzo de 2025;Compras; $ 150,00 ;INP Food;
;lunes, 31 de marzo de 2025;Compras; $ 228,00 ;F&H Dairies;
;lunes, 31 de marzo de 2025;Compras; $ 891,00 ;Grubmarket - General;
;lunes, 31 de marzo de 2025;Compras; $ 1.087,39 ;Goya;
;lunes, 31 de marzo de 2025;Compras; $ 21,39 ;Goya;
;lunes, 31 de marzo de 2025;Compras; $ 26,22 ;Goya;
;viernes, 28 de marzo de 2025;Compras; $ 770,13 ;Wholesale Co;
;sábado, 8 de marzo de 2025;Compras; $ 155,41 ;Jetro;
