"UPC","Item","Department","Quantity on Hand","Total Cost"
"031200009913","Ocean Spray Cranberry Grape Juice Drink","Drinks","-1",""
"031200200075","Ocean Spray Cramberry","Drinks","-2",""
"032100086301","Sara Lee Small Pound Cake","Snacks","17",""
"032100086363","Sara Lee Corn Muffin","Snacks","0",""
"033200011101","Arm & Hammer Pure Baking Soda","General Food","1",""
"033383110011","Oranges","Produce","-1",""
"033383536101","Wada Farms:Idaho Potatoes","Produce","-56",""
"033383536507","bolsa de papas 10lbs","General Food","-33",""
"033383600017","Onions Yellow Bag","Produce","-184",""
"033383601014","Gold Crown Red Onions","Produce","-243",""
"033383650203","Dole Fresh Vegetables:Head","General Food","-137",""
"033383801070","Mentas fresca","Produce","10",""
"033844000066","Badia Onion Powder 2.75 oz","General Food","8",""
"033844000073","Badia Ground Cumin","General Food","1",""
"033844000080","Badia: Complete Seasoning","General Food","-3",""
"033844000097","Badia: Oregano","General Food","4",""
"033844000110","Badia Paprika","General Food","-1",""
"033844000158","Badia Cinnamon Powder","General Food","6",""
"033844001018","Badia: Complete Seasoning","General Food","0",""
"033844001070","Crushed Red Pepper","General Food","9",""
"033844002008","Badia: Curry Powder","General Food","7",""
"033844002244","Badia:Cayenne Pepper","General Food","13",""
"033844002503","Badia Organic Turmeric","General Food","0",""
"033844003791","BADIA adobo with sazon","General Food","9",""
"033844003999","Spink himalays","General Food","2",""
"033844004484","Badia Ground Black Pepper","General Food","15",""
"033844004897","Badia:Black Pepper, Grinder","General Food","4",""
"033844004910","Badia Himalayan Salt Grinder","General Food","2",""
"033844006501","Badia:Marinade, Mojo","General Food","6",""
"034000002405","Hershey's Milk Chocolate","Candy","2",""
"034000002412","Hershey's Milk Chocolate with Almonds","Snacks","-24",""
"034000002467","Kit Kat","Candy","1",""
"034500632027","Land O'Lakes:Half & Half","Deli","0",""
"035000510860","Colgate Triple Action","Hygiene","0",""
"035000510969","Colgate Baking Soda","Vitamins/Medicine","1",""
"035000531056","Fabuloso Lavender All-purpose Cleaner","Cleaning","17",""
"036200002186","Ragú: Double Cheddar","General Food","2",""
"036200002506","Ragu Old World Style:Traditional","General Food","5",""
"036200004005","Ragu Old World Style Marina Smooth","General Food","3",""
"036200013755","Ragu Six Cheese Robusto","General Food","3",""
"036200219294","Bertolli:with Aged Parmesan Cheese","General Food","3",""
"036200219300","Bertolli Sauce:Mushroom w/Portobello Mushrooms","General Food","1",""
"036200219348","Bertolli:Vodka Sauce","General Food","5",""
"036200378151","Ragu Hearty Traditional Sauce","Produce","0",""
"037000003106","Regular Cavity Protection","Hygiene","3",""
"037000003823","Crest Sparkle Fun Kids","Hygiene","4",""
"037000680987","Secret pawder","Hygiene","3",""
"037000956600","Crest Scope","Hygiene","4",""
"037000983477","Always Maxi","Hygiene","5",""
"037071400019","Buena Ventura Filetes de Abadejo Salado","Deli","23",""
"037100042135","Libby's:Sweet Peas","General Food","2",""
"037297914475","Maseca:Instant Corn Masa Flour","General Food","10",""
"037600110723","Skippy Peanut Butter - Chunky","General Food","8",""
"037600110754","Skippy Peanut Butter Creamy","General Food","6",""
"037600138727","Spam Classic","General Food","18",""
"037600223188","Hormel with Beans","General Food","5",""
"037600241939","Hormel:No Beans","General Food","0",""
"038000001208","Kellogg's Corn Flakes","General Food","1",""
"038000138416","Pringles Original","Snacks","3",""
"038000138430","Pringles:Sour Cream & Onion","Snacks","9",""
"038000138577","Pringles: Cheddar Cheese","Snacks","-3",""
"038000138720","Pringles Ranch","Snacks","1",""
"038000169113","pizza pringles","Snacks","6",""
"038000183713","PRNGL BARBEQUE","Snacks","-1",""
"038000200038","Rice Krispies","General Food","2",""
"038000272264","Pringles Elote","Snacks","2",""
"038000293160","Chip","Snacks","1",""
"038000293764","Chips","Snacks","0",""
"038000301902","Pringles","Snacks","2",""
"038000302633","Chip","Snacks","0",""
"038000304989","PRINGLES CHEDDAR  & SOUR CREAM","Snacks","2",""
"038000635304","Kellogg's Froot Loops","Snacks","6",""
"038000635700","Kellogg's Frosted Flakes","Snacks","5",""
"038000845246","Pringles","Snacks","-8",""
"038000845253","Pringles Sour Cream & Onion Flavored Potato Crisps","Snacks","7",""
"038000845260","Pringles Cheddar Cheese Flavored Potato Crisps","Snacks","8",""
"038000848940","Salt & Vinegar Flavored Potato Crisps","Snacks","12",""
"038000863509","Apple Jacks","Snacks","4",""
"038900001438","Dole Pineapple Slices In Heavy Syrup","General Food","9",""
"038900008116","Dole  pineaple coconut mix","Drinks","10",""
"038900009632","Dole 100% Juice Pineapple Paradise","Drinks","-10",""
"038900038632","DOLE PINEAPLE","Drinks","10",""
"039000018920","Ortega:Original Medium","General Food","2",""
"039000085687","Libby's:Corned Beef Hash","General Food","4",""
